material_type,durability_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_score,cost_per_unit_usd
Bamboo Fiber Packaging,9,5,5,84,3.53,0.92
PLA Bioplastic,7,14,5,87,2.95,0.62
Bamboo Fiber Packaging,9,5,8,72,4.49,0.44
Bamboo Fiber Packaging,9,13,8,74,3.64,0.7
Bamboo Fiber Packaging,5,14,8,65,3,1.08
Recycled PET,7,6,5,71,4.84,0.8
Cornstarch Packaging,8,18,6,78,4.54,1.17
Bagasse Fiber,5,6,7,91,4.95,0.8
Kraft Paper,8,8,7,70,4.08,0.62
Bagasse Fiber,6,17,5,97,3.13,0.55
Biodegradable Plastic,8,3,5,92,2.84,0.96
Biodegradable Plastic,9,5,6,61,3.99,0.83
Recycled PET,8,7,8,74,4.94,0.88
Cornstarch Packaging,5,19,5,95,3.88,1
Corrugated Board,5,16,9,64,4.64,0.98
Paper Foam,8,11,8,74,2.99,0.43
Cornstarch Packaging,5,5,5,69,3.22,1.04
Recycled PET,5,15,9,76,4.72,0.83
Recycled Paper Wrap,8,5,6,93,4.27,0.71
Molded Pulp,7,13,9,83,4.94,0.83
Paper Foam,7,4,5,69,4.32,0.89
Seaweed Packaging,6,17,7,89,3.35,0.52
PLA Bioplastic,5,15,5,62,3.59,0.73
Paper Foam,8,18,7,96,4.7,0.67
Recycled PET,5,9,6,62,3.65,0.68
Recycled Paper Wrap,9,15,6,99,2.77,0.47
Recycled Paper Wrap,5,6,8,64,3.31,0.53
Recycled Cardboard,5,11,8,87,3.55,0.53
Bamboo Fiber Packaging,7,12,7,73,2.29,0.7
Cornstarch Packaging,8,11,7,98,4.23,1.12
Recycled Paper Wrap,5,9,6,70,2.33,0.56
Biodegradable Plastic,7,17,9,67,3.21,0.73
Bamboo Fiber Packaging,6,10,7,96,4.41,0.65
Kraft Paper,7,13,7,67,3.4,1.03
Molded Pulp,7,7,9,71,4.53,0.44
Recycled PET,7,4,8,74,3.03,0.56
PLA Bioplastic,5,12,8,78,4.87,0.57
Cornstarch Packaging,5,18,7,87,2.63,1.19
Honeycomb Paperboard,6,15,8,66,2.11,0.86
Biodegradable Plastic,9,10,8,99,4.62,0.51
Mycelium Packaging,9,11,8,66,4.26,0.62
Seaweed Packaging,9,13,6,89,2.7,0.53
Corrugated Board,6,13,5,77,4.95,0.5
Recycled Paper Wrap,9,18,7,83,3.51,1.04
Honeycomb Paperboard,9,12,7,65,4.85,0.8
Recycled Paper Wrap,7,14,6,63,3.52,0.9
Paper Foam,5,8,5,62,3.42,0.67
Biodegradable Plastic,5,14,5,65,3.35,0.84
Paper Foam,7,12,6,85,3,0.61
Recycled Cardboard,7,6,9,97,3.6,0.65
Paper Foam,7,11,9,70,3.36,0.92
Recycled Cardboard,5,9,5,88,2.11,0.52
Seaweed Packaging,9,10,9,79,2.78,0.89
Recycled PET,7,13,9,69,2.64,1.08
Recycled Cardboard,6,9,9,85,4.6,0.5
Honeycomb Paperboard,7,11,5,86,3.8,1.12
Bamboo Fiber Packaging,8,10,9,73,4.29,0.46
Recycled Paper Wrap,7,5,7,95,4.87,0.68
Corrugated Board,5,19,5,71,3.93,0.89
Bamboo Fiber Packaging,7,4,6,82,4.95,0.85
PLA Bioplastic,8,17,9,80,2.94,0.48
Recycled PET,6,16,8,67,2.56,1.04
Paper Foam,9,18,5,98,3.21,1.18
Mycelium Packaging,7,6,6,68,3.41,0.54
PLA Bioplastic,8,8,7,83,4.69,1.12
Biodegradable Plastic,8,8,6,90,3.68,0.85
Recycled Cardboard,6,13,9,84,2.88,1.15
Recycled Paper Wrap,5,19,8,76,4.23,0.54
Molded Pulp,7,5,9,88,3.52,1.03
Cornstarch Packaging,8,15,6,62,2.49,0.45
Honeycomb Paperboard,6,5,5,80,3.73,1.11
Corrugated Board,9,18,8,67,4.73,0.94
Bagasse Fiber,8,17,8,73,4.53,0.7
Honeycomb Paperboard,6,13,6,98,3.76,0.55
Seaweed Packaging,5,17,9,75,3.13,1.05
Molded Pulp,5,7,6,77,2.26,0.88
Mycelium Packaging,8,18,8,90,3.41,0.69
Cornstarch Packaging,8,18,6,70,4.26,0.76
Molded Pulp,7,19,8,97,3.08,1.06
Paper Foam,6,11,9,79,2.71,0.67
Recycled Cardboard,8,5,5,63,4.79,0.47
Recycled PET,7,15,5,79,4.46,1.13
Corrugated Board,7,5,6,90,3.91,0.71
Kraft Paper,8,9,8,79,2.41,0.68
Recycled Cardboard,5,8,5,70,2.43,0.56
Kraft Paper,6,11,8,60,2.31,1.12
PLA Bioplastic,6,14,9,77,3.85,0.57
Recycled PET,5,17,6,98,2.35,0.91
Cornstarch Packaging,8,5,8,92,4.53,1.1
Recycled Paper Wrap,6,12,6,95,4.98,0.43
Bagasse Fiber,8,3,8,77,3.1,1.06
Biodegradable Plastic,8,15,8,90,3.36,0.73
Bamboo Fiber Packaging,7,14,9,94,4.14,0.93
Recycled PET,5,3,6,98,4.81,0.7
Recycled Cardboard,8,18,7,97,4.68,0.96
Corrugated Board,9,17,8,74,2.17,0.6
Bamboo Fiber Packaging,5,18,8,65,2.51,0.42
Seaweed Packaging,6,13,5,67,4.26,1.16
Seaweed Packaging,7,8,6,99,4.07,0.41
Molded Pulp,6,13,7,81,2.4,1.06
Bamboo Fiber Packaging,6,5,9,60,3.51,0.54
Corrugated Board,5,17,7,72,4.34,0.71
Cornstarch Packaging,6,3,9,83,2.66,1.06
PLA Bioplastic,8,9,7,80,4.61,0.56
Kraft Paper,6,3,7,63,2.16,1.09
Molded Pulp,7,19,6,66,4.35,0.8
Seaweed Packaging,7,11,5,71,3.85,0.69
Biodegradable Plastic,9,15,7,72,2.95,0.93
Biodegradable Plastic,7,13,8,75,4.16,0.67
Recycled Cardboard,6,8,8,65,4.35,0.68
Cornstarch Packaging,7,3,8,73,4.8,0.99
Recycled Paper Wrap,5,9,5,90,3.1,0.65
Seaweed Packaging,7,14,7,95,4.06,0.56
Mycelium Packaging,8,19,9,96,3.81,1.05
Cornstarch Packaging,5,6,9,94,3.58,1.04
PLA Bioplastic,9,5,6,69,4.67,0.8
Kraft Paper,8,3,5,76,2.01,0.82
Corrugated Board,6,17,7,89,2.85,0.96
Bamboo Fiber Packaging,6,10,8,66,3.61,0.81
Seaweed Packaging,6,3,5,77,2.53,0.73
Bamboo Fiber Packaging,8,16,5,78,4.72,1.2
Biodegradable Plastic,8,6,7,74,3.94,0.52
Corrugated Board,8,7,6,98,3.43,0.87
Corrugated Board,5,15,6,81,4.44,1.11
Corrugated Board,5,17,6,98,3.35,0.95
Biodegradable Plastic,6,8,8,89,3.68,1.1
PLA Bioplastic,7,3,8,79,2.01,0.67
Bamboo Fiber Packaging,6,15,7,91,3.1,0.62
Honeycomb Paperboard,9,8,6,84,2.42,1.08
Bamboo Fiber Packaging,5,17,7,82,4.07,0.72
Paper Foam,8,18,6,64,3.44,0.97
Kraft Paper,5,18,5,89,2.91,0.52
Mycelium Packaging,8,12,9,98,3.4,1
Honeycomb Paperboard,9,11,9,86,2.63,0.84
Kraft Paper,9,11,6,96,4.78,0.61
Molded Pulp,5,19,7,66,2.16,0.8
Cornstarch Packaging,8,19,8,64,4.6,0.96
Cornstarch Packaging,9,19,6,74,3.53,0.41
Bagasse Fiber,6,14,6,67,3.86,0.91
Cornstarch Packaging,6,15,8,68,2.91,0.83
Bamboo Fiber Packaging,8,14,6,70,4.9,0.58
Biodegradable Plastic,5,16,5,81,2.85,1
Mycelium Packaging,9,12,8,93,3.77,0.64
Recycled Paper Wrap,5,4,5,94,4.98,0.62
Recycled Cardboard,6,6,9,72,4.64,0.78
Bagasse Fiber,9,9,8,70,3.61,0.94
Recycled PET,5,17,8,91,4.97,1.14
Recycled PET,7,17,7,74,4.1,0.51
Recycled Cardboard,8,8,7,97,2.63,0.72
Kraft Paper,8,5,8,60,3.22,0.45
Recycled Cardboard,7,8,9,83,3,1.01
Recycled Cardboard,6,18,6,99,3.03,0.76
Recycled PET,9,4,7,81,4.28,0.97
Bagasse Fiber,8,9,9,62,3.75,0.66
Molded Pulp,7,13,9,73,2.11,1.08
Bamboo Fiber Packaging,7,9,7,61,4.63,0.83
Corrugated Board,6,6,6,91,2.89,1.15
Cornstarch Packaging,6,9,7,97,4.99,0.46
Cornstarch Packaging,5,6,9,92,4.86,0.81
Biodegradable Plastic,8,14,5,65,4.82,1.01
Bagasse Fiber,5,7,7,98,4.43,0.88
Biodegradable Plastic,7,7,9,84,2.66,0.42
Recycled Paper Wrap,9,5,7,93,3.6,1.18
Recycled Paper Wrap,9,13,9,70,2.67,0.64
Biodegradable Plastic,6,9,6,96,2.78,0.6
Bagasse Fiber,9,19,9,66,3.83,0.79
Biodegradable Plastic,9,11,8,81,2.12,0.83
Cornstarch Packaging,9,11,5,98,4.91,1.01
Honeycomb Paperboard,7,12,9,69,4.76,0.71
Paper Foam,9,15,7,80,3.14,0.75
Recycled PET,9,17,7,65,3.55,0.83
Recycled PET,9,7,9,60,3.4,0.72
Mycelium Packaging,5,5,8,93,4.65,1.13
Recycled Cardboard,7,10,9,73,4.07,1.08
Paper Foam,6,12,6,95,2.83,0.76
Bamboo Fiber Packaging,5,15,8,86,3.34,0.4
Bagasse Fiber,8,5,9,68,3.29,1.12
PLA Bioplastic,7,10,5,65,4.88,0.5
Paper Foam,7,11,8,90,2.53,0.6
Mycelium Packaging,8,14,9,76,2.27,0.52
Recycled Paper Wrap,8,13,5,95,4.64,0.54
Kraft Paper,8,4,9,80,4.69,1.04
Recycled Cardboard,6,11,6,86,4.62,0.86
Mycelium Packaging,9,4,7,87,3.53,1.16
Corrugated Board,7,4,9,75,3.98,0.59
PLA Bioplastic,9,5,8,94,3.69,0.79
Bagasse Fiber,9,18,9,95,2.21,1.18
Recycled Cardboard,8,6,9,94,3.79,1.06
Bamboo Fiber Packaging,6,12,9,78,2.04,0.98
Paper Foam,5,13,9,80,2.97,0.55
Recycled Paper Wrap,6,19,8,92,4.8,1.02
Molded Pulp,9,18,8,82,2.91,0.68
Honeycomb Paperboard,6,15,9,65,4.82,0.82
Corrugated Board,8,4,7,91,2.75,0.89
PLA Bioplastic,5,4,9,81,2.94,0.89
Honeycomb Paperboard,8,16,8,62,3.89,0.98
Recycled Cardboard,5,6,6,94,4.28,0.93
Recycled Paper Wrap,9,19,9,75,3.5,0.45
Recycled Paper Wrap,5,15,9,84,4.65,0.77
Mycelium Packaging,5,6,9,76,2.12,0.93
Recycled PET,5,5,9,98,4.77,0.64
Recycled PET,6,14,5,72,2.59,0.65
Paper Foam,6,10,9,87,4.65,0.5
Mycelium Packaging,9,4,8,70,3.2,0.73
Cornstarch Packaging,5,8,8,69,4.5,1.19
Paper Foam,7,12,5,98,4.01,0.63
Cornstarch Packaging,9,14,9,83,2.53,0.83
Recycled PET,5,12,7,97,4.75,0.99
Mycelium Packaging,5,12,9,83,2.74,0.41
Cornstarch Packaging,6,5,8,92,2.73,1.12
Corrugated Board,9,12,6,76,4.44,0.71
Mycelium Packaging,5,11,6,95,2.32,1.1
Recycled PET,5,16,7,94,2.67,0.43
Paper Foam,9,4,9,65,3.51,0.52
Seaweed Packaging,7,7,5,75,4.49,0.66
Mycelium Packaging,9,10,9,87,2.44,0.68
Molded Pulp,9,9,7,91,3.64,1.08
PLA Bioplastic,7,8,7,85,4.13,0.41
Recycled PET,9,13,7,70,4.58,0.91
Biodegradable Plastic,5,14,6,84,4.81,0.51
Biodegradable Plastic,9,12,9,90,4.35,1.06
Paper Foam,7,16,9,80,3.96,1.02
Paper Foam,8,5,5,62,3.3,0.8
Honeycomb Paperboard,9,17,7,71,2.34,0.57
PLA Bioplastic,6,8,7,99,4.13,0.91
PLA Bioplastic,5,12,8,84,4.98,0.53
Corrugated Board,5,14,8,76,4.21,0.55
Paper Foam,6,9,6,97,2.05,0.9
PLA Bioplastic,6,19,9,95,3.49,1.19
Bamboo Fiber Packaging,9,3,5,95,3.84,1.11
Honeycomb Paperboard,6,17,5,78,4.07,0.87
Cornstarch Packaging,8,3,7,61,4.16,0.83
Recycled Paper Wrap,7,7,5,76,3.67,1.2
Recycled Paper Wrap,6,17,7,89,2.67,0.84
Cornstarch Packaging,6,5,9,69,4.83,0.74
Bagasse Fiber,8,3,5,94,4.09,1.13
Recycled PET,5,10,7,95,2.71,0.59
Honeycomb Paperboard,5,14,9,92,2.97,0.48
Bamboo Fiber Packaging,9,14,9,60,4.77,0.91
PLA Bioplastic,8,15,7,77,4.66,0.48
Seaweed Packaging,7,3,7,63,3.22,0.7
Honeycomb Paperboard,7,8,6,86,2.11,0.74
Mycelium Packaging,8,10,9,84,2.15,0.84
Cornstarch Packaging,7,6,7,87,2.85,1.19
Bamboo Fiber Packaging,5,7,9,81,3.89,0.58
Molded Pulp,7,9,5,84,3.75,0.7
Kraft Paper,7,6,8,76,3.9,0.51
Recycled Cardboard,8,6,8,71,4.15,0.89
Recycled PET,8,17,7,75,2.06,0.98
Cornstarch Packaging,7,7,7,96,2.32,0.79
Seaweed Packaging,6,11,9,75,3.08,0.6
PLA Bioplastic,8,4,7,76,2.46,0.9
Seaweed Packaging,9,9,9,90,2.23,0.83
Seaweed Packaging,9,19,7,74,3.92,0.54
Paper Foam,5,18,9,72,4.45,0.72
Paper Foam,7,19,7,99,4.26,0.75
Corrugated Board,6,4,6,86,4.45,1.19
Cornstarch Packaging,5,13,9,80,4,1.08
Corrugated Board,7,4,6,61,4.21,0.99
Cornstarch Packaging,8,3,6,67,2.82,1.11
Recycled PET,9,4,6,66,4.98,0.99
Honeycomb Paperboard,6,11,6,69,2.55,1.12
Recycled Cardboard,9,4,5,63,2.64,0.44
Seaweed Packaging,8,17,8,95,2.87,0.76
Recycled PET,7,12,5,94,4.93,1
Honeycomb Paperboard,8,17,7,62,4.96,0.87
Kraft Paper,8,12,7,77,4.38,0.54
Recycled Paper Wrap,9,19,8,83,3.89,0.67
Biodegradable Plastic,6,11,8,91,3.56,0.65
Mycelium Packaging,8,6,8,93,4.91,0.61
Bamboo Fiber Packaging,9,11,6,61,4.09,0.67
Cornstarch Packaging,6,18,5,61,4.83,0.81
Kraft Paper,7,6,7,69,2.95,1.08
Recycled Paper Wrap,7,18,5,82,3,0.99
PLA Bioplastic,5,3,5,74,4.56,1.07
Bagasse Fiber,9,8,5,71,2.45,1.11
Recycled Cardboard,6,12,8,76,4.84,0.73
Bamboo Fiber Packaging,8,18,8,77,3.52,0.68
Corrugated Board,7,6,7,73,4.78,0.45
Corrugated Board,6,15,7,76,3.01,1.14
Honeycomb Paperboard,9,18,7,74,4.15,0.45
Bamboo Fiber Packaging,5,8,5,71,3.45,0.99
Paper Foam,7,13,8,75,3.88,0.7
Recycled Paper Wrap,6,5,6,91,3.51,1.16
Bagasse Fiber,6,12,5,82,4.9,0.74
Kraft Paper,6,3,9,97,4.08,1.05
Recycled Cardboard,9,13,5,93,2.75,0.63
Recycled PET,9,14,8,93,4.73,0.64
Recycled Paper Wrap,9,16,9,75,2.88,0.88
Bagasse Fiber,8,10,5,93,3.11,1.2
Biodegradable Plastic,6,13,8,99,2.31,0.81
Cornstarch Packaging,7,6,8,66,4.7,1.15
Recycled PET,9,9,6,92,2.86,1.03
Corrugated Board,9,12,5,63,2.78,1.04
Recycled PET,6,6,8,66,4.76,0.75
Kraft Paper,9,4,7,77,4.42,0.71
Corrugated Board,8,16,8,63,2.42,0.55
Kraft Paper,8,18,6,70,4.31,1.17
Honeycomb Paperboard,9,13,8,79,4.74,1.17
Paper Foam,6,12,5,70,2.24,1
Kraft Paper,6,19,5,74,4.48,0.64
Corrugated Board,6,16,9,76,3.64,0.6
Honeycomb Paperboard,5,6,5,93,4.01,1.19
Kraft Paper,9,4,9,71,3.48,0.45
Biodegradable Plastic,6,9,7,87,4.09,1.07
Recycled PET,8,11,6,94,2.1,0.68
Paper Foam,7,18,7,67,4.29,0.74
Kraft Paper,7,18,9,86,2.1,1.07
Honeycomb Paperboard,6,13,8,81,3.37,0.47
PLA Bioplastic,7,9,8,83,2.45,0.68
Recycled Paper Wrap,7,11,7,61,4.47,1.16
Molded Pulp,5,6,8,90,2.94,0.96
Bagasse Fiber,8,15,9,81,3.36,1
Molded Pulp,8,6,6,60,3.29,1.01
PLA Bioplastic,5,4,5,73,4.32,0.45
Molded Pulp,5,11,9,84,3.44,0.56
PLA Bioplastic,7,14,9,95,4.37,0.79
Recycled Cardboard,9,4,5,95,2.22,0.69
PLA Bioplastic,7,8,5,62,2.57,0.73
PLA Bioplastic,5,7,6,64,3.65,1.03
Seaweed Packaging,8,7,6,60,4.84,0.41
PLA Bioplastic,7,7,6,78,2.22,0.93
Biodegradable Plastic,9,6,8,92,2.13,0.4
Recycled Paper Wrap,7,11,9,89,2.47,0.45
Cornstarch Packaging,6,12,5,71,3.92,0.73
Kraft Paper,7,18,9,69,3.2,1.07
Bagasse Fiber,5,12,9,93,4.48,0.52
Paper Foam,8,12,6,75,2.22,0.84
Recycled Paper Wrap,8,12,6,99,2.59,0.94
Corrugated Board,5,8,9,88,2.9,0.58
Cornstarch Packaging,6,19,6,74,3.88,0.81
Recycled Cardboard,5,7,8,70,4.06,1.13
Recycled Cardboard,7,8,5,93,2.37,0.81
Mycelium Packaging,5,17,9,95,4.83,0.53
Recycled PET,5,6,5,89,3.02,0.9
PLA Bioplastic,6,10,8,94,4.14,0.87
Recycled Paper Wrap,7,18,6,68,3.57,0.42
Honeycomb Paperboard,9,5,7,77,2.67,0.47
Seaweed Packaging,9,12,8,78,4.54,0.53
Molded Pulp,8,4,7,98,4.45,0.51
Corrugated Board,5,6,5,63,3.19,0.61
Recycled Cardboard,8,8,9,65,3.77,0.76
Bagasse Fiber,6,13,6,92,2.77,0.7
Recycled Cardboard,9,16,8,91,4.07,1.11
Paper Foam,5,18,6,75,2.93,0.89
Kraft Paper,6,4,7,70,4.53,1.1
Recycled Cardboard,6,19,7,81,2.65,0.82
Paper Foam,5,11,9,95,2.04,0.47
Recycled Paper Wrap,6,19,7,82,2.81,0.77
Recycled Paper Wrap,5,17,9,85,2.57,1.06
Seaweed Packaging,5,9,8,90,3.52,0.56
Recycled PET,7,5,9,88,2.61,0.47
Mycelium Packaging,8,3,7,64,4.29,0.66
Cornstarch Packaging,6,6,5,97,2.72,0.71
Recycled Cardboard,6,10,9,84,4.12,0.65
Bagasse Fiber,7,8,6,93,3.74,0.51
Recycled Cardboard,7,3,5,71,4.96,0.6
Mycelium Packaging,7,10,9,81,5,0.95
Bamboo Fiber Packaging,9,3,6,68,4.61,0.71
Bagasse Fiber,9,13,5,79,4.28,0.91
Biodegradable Plastic,9,17,9,88,3.16,0.83
PLA Bioplastic,5,13,8,88,4.26,0.84
Cornstarch Packaging,6,12,6,86,4.87,0.6
Biodegradable Plastic,8,14,8,76,2.07,0.82
Bamboo Fiber Packaging,5,3,7,64,3.61,0.42
Bamboo Fiber Packaging,6,9,9,72,2.65,0.75
Mycelium Packaging,6,19,9,74,3.67,0.86
Recycled Cardboard,7,12,6,74,3.4,0.55
Mycelium Packaging,7,8,9,77,3.73,0.61
Mycelium Packaging,5,19,7,61,3.65,0.58
Bamboo Fiber Packaging,7,7,9,82,4.88,0.46
Cornstarch Packaging,6,19,5,72,3.66,0.68
Biodegradable Plastic,7,18,8,63,4.54,1.18
Molded Pulp,9,10,7,84,2.96,0.68
Recycled Cardboard,7,15,7,70,3.31,0.77
Bamboo Fiber Packaging,6,18,8,71,3.41,0.92
Biodegradable Plastic,5,13,8,72,2.84,0.92
Recycled PET,8,8,7,68,3.14,1.16
Molded Pulp,7,5,8,97,3.8,1.09
Molded Pulp,6,3,6,65,3.74,1.04
Recycled Paper Wrap,8,7,8,69,3.91,1.16
Seaweed Packaging,8,15,5,82,3.06,0.58
Recycled Cardboard,9,12,5,74,2.95,0.89
Molded Pulp,8,7,6,82,3.83,1.11
Bamboo Fiber Packaging,6,16,8,99,2.4,0.9
Recycled Paper Wrap,6,19,5,96,2.76,1.18
Biodegradable Plastic,7,3,9,93,2.13,0.48
Recycled PET,7,4,8,75,2.22,0.75
Paper Foam,7,9,6,91,2.73,1.18
Recycled Cardboard,8,12,8,97,2.06,0.7
Cornstarch Packaging,8,9,7,99,2.74,0.99
Mycelium Packaging,9,18,7,64,3.96,0.42
Bagasse Fiber,7,7,5,76,2.18,0.96
Bagasse Fiber,5,14,7,81,3.31,1.15
Biodegradable Plastic,9,19,6,98,4.74,0.71
Honeycomb Paperboard,5,18,5,77,4.37,0.42
Honeycomb Paperboard,8,18,6,87,2.92,0.42
Biodegradable Plastic,9,17,6,72,4.77,1.11
Bamboo Fiber Packaging,9,14,7,60,2.99,0.98
Molded Pulp,6,12,7,78,2.22,0.49
Seaweed Packaging,8,4,6,93,4.98,0.44
Recycled Cardboard,8,9,7,63,4.61,1.04
Bagasse Fiber,9,15,7,62,3.4,1.05
Bagasse Fiber,8,5,7,69,4,0.5
Seaweed Packaging,9,17,8,87,4.01,0.64
Molded Pulp,6,3,6,93,2.58,1.02
Bagasse Fiber,9,5,9,98,2.6,0.82
Mycelium Packaging,8,12,6,78,3.41,1.17
Cornstarch Packaging,8,17,5,95,4.73,0.78
Recycled Cardboard,9,8,7,62,2.03,0.94
Kraft Paper,9,17,7,82,4.35,0.81
Bagasse Fiber,9,9,9,76,2.17,1.15
Biodegradable Plastic,7,7,5,66,3.43,0.72
Cornstarch Packaging,8,6,8,85,3.91,0.58
Bagasse Fiber,8,5,6,77,4.06,0.66
PLA Bioplastic,7,19,8,65,2.18,1.08
Recycled PET,9,4,5,90,3.26,0.8
Mycelium Packaging,6,15,9,88,3.75,0.68
Cornstarch Packaging,9,17,5,68,2.2,0.84
Recycled Paper Wrap,9,7,9,94,2.41,0.51
Kraft Paper,7,5,8,76,3.99,0.4
Recycled PET,8,7,8,71,3.56,0.62
Corrugated Board,9,7,5,95,2.49,0.88
Biodegradable Plastic,8,7,5,83,3.61,0.97
Biodegradable Plastic,5,5,7,69,4.74,1.06
Recycled Cardboard,8,5,9,89,2.05,1.14
Seaweed Packaging,6,6,7,88,3.93,0.73
Recycled PET,6,3,6,98,2.22,0.99
Cornstarch Packaging,9,18,6,69,2.02,0.46
Molded Pulp,8,10,5,98,2.45,0.45
Biodegradable Plastic,9,19,8,87,3.27,0.5
Cornstarch Packaging,7,10,6,77,4.41,0.76
Bamboo Fiber Packaging,6,9,6,76,2.85,0.57
Cornstarch Packaging,9,10,7,70,3.88,0.63
Bamboo Fiber Packaging,7,14,7,60,3.23,0.92
PLA Bioplastic,9,18,6,76,2.7,0.69
Paper Foam,8,14,5,95,3.54,0.85
Paper Foam,8,12,7,95,4.39,0.73
Corrugated Board,8,9,6,68,4.5,0.54
Recycled Paper Wrap,8,14,8,87,4.54,0.46
Corrugated Board,5,7,7,92,3.02,0.59
Bamboo Fiber Packaging,7,18,6,62,4.38,0.45
Recycled PET,7,11,9,67,2.64,0.89
Bagasse Fiber,8,9,7,65,4.22,1.04
Molded Pulp,5,16,9,65,4.85,0.67
Bagasse Fiber,8,13,7,88,2.04,0.71
Honeycomb Paperboard,5,9,7,96,3.32,1.05
Bagasse Fiber,8,12,9,71,3.94,0.58
Recycled Cardboard,6,11,5,68,4.11,0.5
Bagasse Fiber,6,6,6,78,2.53,0.8
Corrugated Board,9,18,5,76,4.92,0.92
Biodegradable Plastic,8,12,5,91,3.85,0.88
Mycelium Packaging,7,19,6,94,2.49,0.97
Biodegradable Plastic,9,11,8,73,2.06,0.45
Paper Foam,6,15,5,75,4.35,0.74
Mycelium Packaging,8,3,5,80,2.24,0.59
Seaweed Packaging,9,4,5,71,2.42,1.01
Molded Pulp,8,15,8,83,3.72,1.1
Molded Pulp,6,11,7,93,3.81,0.63
Recycled Cardboard,9,9,9,67,4.06,0.48
Recycled PET,6,18,9,80,3.18,0.6
Corrugated Board,5,9,8,67,4.32,0.48
Paper Foam,6,8,5,87,4.92,0.66
PLA Bioplastic,8,13,9,75,2.81,0.83
Honeycomb Paperboard,7,14,8,69,4.11,1.18
Recycled PET,6,12,6,74,4.79,0.72
Molded Pulp,7,15,9,63,4.06,0.58
Biodegradable Plastic,5,14,6,85,4.04,0.53
Bagasse Fiber,9,12,5,74,2.67,0.54
Bagasse Fiber,9,6,9,95,3.61,0.55
Seaweed Packaging,7,7,8,91,3.69,1.01
Paper Foam,9,7,7,97,4.1,0.45
Corrugated Board,6,14,9,63,4.99,1.2
Corrugated Board,7,5,9,68,2.1,0.82
Recycled Paper Wrap,8,10,9,94,2.2,0.84
Bamboo Fiber Packaging,6,4,9,87,2.23,0.69
Kraft Paper,6,11,8,96,4.23,0.95
Molded Pulp,6,15,8,68,2.41,0.78
Corrugated Board,8,9,7,61,3.87,0.66
Seaweed Packaging,5,12,8,62,2.97,0.61
Biodegradable Plastic,9,11,8,64,3.37,1.14
Paper Foam,7,17,5,69,2.65,0.63
Honeycomb Paperboard,5,7,5,87,4.6,0.75
Recycled Paper Wrap,7,14,6,74,3.76,0.68
Seaweed Packaging,9,3,7,73,4.83,0.47
Cornstarch Packaging,8,14,5,82,3.72,0.55
Recycled Cardboard,6,8,7,72,2.37,0.55
Honeycomb Paperboard,6,18,7,75,2.51,0.95
Bamboo Fiber Packaging,8,5,9,89,4.97,0.73
Cornstarch Packaging,5,12,7,99,4.18,1.03
PLA Bioplastic,5,15,9,67,2.15,0.97
Bamboo Fiber Packaging,7,5,6,76,4.11,0.55
Bagasse Fiber,8,5,6,89,3.24,0.85
Recycled Cardboard,5,14,6,76,2.92,0.99
Molded Pulp,8,9,9,94,2.46,0.91
Biodegradable Plastic,9,10,9,60,4.52,0.88
Recycled Cardboard,6,11,6,83,2.19,0.99
Bamboo Fiber Packaging,6,16,9,84,2.87,0.45
Kraft Paper,6,7,8,61,2.92,0.99
Cornstarch Packaging,8,18,8,84,2.48,0.62
Molded Pulp,8,14,9,73,3.52,0.86
Mycelium Packaging,7,6,9,98,2.04,0.59
Kraft Paper,6,10,5,92,2.9,1.07
Bagasse Fiber,7,9,5,76,4.8,0.78
Kraft Paper,6,17,7,90,2.93,0.91
Recycled Paper Wrap,7,8,7,69,3.08,1.04
Recycled Paper Wrap,7,7,7,65,3.42,1.12
PLA Bioplastic,9,16,6,98,3.69,0.99
Bamboo Fiber Packaging,7,15,8,84,4.43,0.52
Paper Foam,8,12,6,97,2.57,1.08
Honeycomb Paperboard,7,6,9,96,4.62,0.89
Honeycomb Paperboard,6,10,5,89,4.27,0.89
Mycelium Packaging,7,13,9,93,4.17,1.14
Mycelium Packaging,5,19,9,77,2.26,0.6
Molded Pulp,6,13,5,83,2.06,0.59
Bagasse Fiber,5,18,9,86,3.78,0.81
Corrugated Board,6,14,7,86,4.59,1
PLA Bioplastic,8,15,5,98,3.75,0.76
Recycled Paper Wrap,8,18,9,80,2.64,0.91
Molded Pulp,8,3,7,78,2.27,0.76
Corrugated Board,5,18,7,98,4.1,0.89
Honeycomb Paperboard,9,17,8,82,4.17,1.06
Paper Foam,6,8,7,98,2.52,0.54
Kraft Paper,8,14,6,74,2.08,0.96
Recycled Paper Wrap,6,10,5,61,3.22,1.03
Molded Pulp,5,9,5,94,3.75,0.76
Recycled Cardboard,9,4,5,79,4.12,0.66
Corrugated Board,5,14,9,87,4.43,0.41
Kraft Paper,6,16,9,74,3.83,1.04
Recycled Paper Wrap,9,18,6,75,2.33,0.66
Honeycomb Paperboard,9,13,7,92,4.05,0.69
Seaweed Packaging,5,11,9,71,4.95,0.67
Bagasse Fiber,8,12,7,98,4.72,0.8
Corrugated Board,6,19,7,98,4.62,0.96
Honeycomb Paperboard,7,14,9,79,2.91,1.02
Recycled Paper Wrap,7,8,9,88,4.25,0.71
Corrugated Board,5,13,6,62,4.55,0.93
PLA Bioplastic,6,11,8,64,4.03,0.98
